Spécialité pharmaceutique ,Substance active ,Type ATU / RTU,Dates ATU / RTU (si date seule = arrêt),Date AMM,ATU / RTU en cours (1) VS arrêtée (0),Commentaires,Labo
"VYVANSE 30 mg, gélule",lisdexamphetamine dimesylate,, ,,, ,SHIRE PHARMACEUTICALS
"WAKIX 20 mg, comprimé pelliculé quadrisécable",pitolisant,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Bioprojet Pharma (Tel : 01.47.03.66.33).,BIOPROJET PHARMA
"ALPHAGAN P 0,15 %, collyre en solution",brimonidine (tartrate),, ,,,"Cette spécialité ne contient pas le même conservateur que la spécialité disponible en France dans le cadre d'une AMM (ALPHAGAN 0,2%, collyre).",ALLERGAN FRANCE
"BROLENE 0,10%, collyre en solution",propamidine (iséthionate),, ,,, ,AVENTIS PHARMA LIMITED
"CYSTADROPS 0,55%, collyre en solution",cystéamine chlorhydrate,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Orphan Europe (tel : 01 47 73 94 61).,ORPHAN EUROPE
"GS 101  0,86 mg/ml, collyre en solution",25mer phosphorothioate oligonucléotide,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible auprès du laboratoire CRID Pharma (04 99 58 38 67).,AMATSI
"IKERVIS 1mg/ml, collyre en émulsion",ciclosporine,,08/06/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en mars 2015.,SANTEN
"NATACYN 5%, collyre en suspension",natamycine,, ,,, ,ALCON LABORATORIES INC.
"PREDFORTE 1 %, collyre en suspension",prednisolone (acétate),, ,,, ,ALLERGAN PHARMACEUTICALS IRELAND
"RAXONE 150 mg, comprimé pelliculé",idébénone,,01/11/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2015.,SANTHERA PHARMACEUTICALS GMBH
"RESTASIS 0,05%, collyre en solution",ciclosporine,, ,,, ,ALLERGAN
"LEUKINE 250 µg/ml, poudre pour solution injectable",sargramostim,, ,,, ,GENZYME CORPORATION
"LEUKINE 500 µg/ml, solution injectable",sargramostim,, ,,, ,GENZYME CORPORATION
"MEPOLIZUMAB 100 mg, poudre pour solution injectable",mépolizumab,, ,,, ,GLAXOSMITHKLINE
"AMANTADINE HYDROCHLORIDE 100 mg, gélule",amantadine (chlorhydrate),, ,,, ,BRISTOL MYERS SQUIBB
"EMSAM 12 mg/24 h, dispositif transdermique",selegiline,, ,,, ,MYLAN
"EMSAM 6 mg/24h, dispositif transdermique",selegiline,, ,,, ,MYLAN
"NARDELZINE 15 mg, comprimé",phénelzine (sulfate),, ,,, ,PFIZER
"NARDIL 15 mg, comprimé",phénelzine,, ,,, ,PFIZER
"TRANYLCYPROMINE 10 mg, comprimé",tranylcypromine,, ,,, ,GOLDSHIELD PHARMACEUTICALS LTD
"ZELDOX 20 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER PHARMA GMBH
"ZELDOX 40  mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER PHARMA GMBH
"ZELDOX 60 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"68 GA/ 68GE 1,1 GBq, générateur radiopharmaceutique",68 Ga/ 68 Ge,, ,,, ,IASON LABORMEDEZIN GMBH
"DOTA-NOC 50 µg, poudre pour solution injectable",DOTA-[Nal3]-octreotide,, ,,, ,IASON LABORMEDEZIN GMBH
"DOTA-TOC 50 microgramme, solution injectable",edotreotide,, ,,, ,IASON LABORMEDEZIN GMBH
"LUTATHERA 7,4 GBq / flacon, solution injectable", 177Lu-DOTA0-Tyr3-Octréotate,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Advanced Accelerator Applications (Tel : 04 50 99 30 70).,ADVANCED ACCELARATOR APPLICATIONS
"DESURIC 100 mg, comprimé sécable",benzbromarone,, ,,, ,PROSTRAKAN PHARMA BV
"KRYSTEXXA 8 mg, poudre pour solution injectable",pegloticase,, ,,, ,SAVIENT PHARMACEUTICALS INC
"MYOCRISIN 100 mg/ml, solution injectable",sodium aurothiomalate,, ,,, ,SANOFI AVENTIS
"ELMIRON 100 mg, gélule",pentosan (polysulfate),, ,,, ,ARTHROPHARM PTY LTD
"MYOCHOLINE 10 mg, comprimé",béthanéchol (chlorure),, ,,, ,GLENWOOD GMBH
"MYOCHOLINE 25 mg, comprimé sécable",béthanéchol (chlorure),, ,,, ,GLENWOOD GMBH
"PMS-OXYBUTYNIN 1 mg/ml, sirop",chlorhydrate d'oxybutynine,, ,,, ,PHARMASCIENCE INC.
"POTABA 3 g, poudre pour suspension buvable",potassium (paraaminobenzoate),, ,,, ,CHEPLAPHARM ARZNEIMITTEL GMBH
"POTABA 500 mg, gélule",potassium (paraaminobenzoate),, ,,, ,CHEPLAPHARM ARZNEIMITTEL GMBH
"RIMSO-50 50% p/p, solution pour administration intravésicale",diméthylsulfoxyde,, ,,, ,BIONICHE PHARMA GROUP LIMITED
"NERVIFENE 100 mg/ml, solution buvable",chloral (hydrate),, ,,, ,INTERDELTA SA
"MARINOL 2,5 mg, capsule molle",dronabinol,, ,,,Ce médicament est soumis à la réglementation des stupéfiants.,ABBVIE INC
"NEURONTIN 250 mg/ 5ml, solution buvable",gabapentine,, ,,, ,PFIZER INC
"NOLOTIL 2 g/5 ml, solution injectable",métamizole magnésium,, ,,, ,BOEHRINGER INGELHEIM FRANCE
"ZOSTRIX 0,025%, crème",capsaïcine,, ,,, ,HEALTH CARE PRODUCTS
"ZOSTRIX HP 0,075%, crème",capsaïcine,, ,,, ,HEALTH CARE PRODUCTS
"ANTICHOLIUM 2 mg/5 ml, solution injectable",physostigmine (salicylate),, ,,, ,LABORATOIRE KOHLER CHEMIE
"LEGALON-SIL 350 mg, poudre pour solution injectable",silibinine,, ,,, ,LABORATOIRES ROTTAPHARMA
"ALECTINIB 150 mg, gélule",alectinib,, ,,, ,ROCHE - CENTRE DE DISTRIBUTION
"ATEZOLIZUMAB 60 mg/ml, solution pour perfusion",atezolizumab,, ,,, ,ROCHE
"AVELUMAB 20 mg/ml, solution pour perfusion",Avelumab,, ,,, ,MERCK SERONO
"AZD9291 40 mg, comprimé",osimertinib,,02/05/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en février 2016 sous la dénomination TAGRISSO.,ASTRA ZENECA
"AZD9291 80 mg, comprimé",osimertinib,,02/05/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en février 2016 sous la dénomination TAGRISSO.,ASTRA ZENECA
"BARICITINIB 2 mg, comprimé pelliculé",baracitinib,, ,,, ,LILLY FRANCE
"BRIGATINIB 30 mg, comprimé",brigatinib,, ,,, ,ARIAD PHARMACEUTICALS
"BRIGATINIB 90 mg, comprimé",brigatinib,, ,,, ,ARIAD PHARMACEUTICALS
"CABOMETYX 60 mg, comprimé pelliculé",cabozantinib,,09/12/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2016.,IPSEN PHARMA
"CRIZOTINIB PFIZER NOURRISSONS ET ENFANTS 25 mg/ml, solution buvable",crizotinib,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'afssaps et auprès du laboratoire PFIZER (tél. : 01 58 07 30 00).,PFIZER
"LORLATINIB 100 mg, comprimé",lorlatinib,, ,,, ,PFIZER
"LORLATINIB 25 mg, comprimé",lorlatinib,, ,,, ,PFIZER
"PALBOCICLIB 100 mg, gélule",palbociclib,,,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire PFIZER (tél : 0800 000 368).,PFIZER
"PALBOCICLIB 125 mg, gélule",palbociclib,,,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire PFIZER (tél : 0800 000 368).,PFIZER
"PALBOCICLIB 75 mg, gélule",palbociclib,,,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire PFIZER (tél : 0800 000 368).,PFIZER
"SONIDEGIB 50 mg/ml, poudre et solvant pour suspension buvabie",sonidegib,, ,,, ,NOVARTIS PHARMA S.A.S.
"TAS-102 15 mg, comprimé",trifluridine/tipiracil,,15/10/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en avril 2016 sous la dénomination LONSURF.,SERVIER
"TAS-102 20 mg, comprimé",trifluridine/tipiracil,,15/10/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en avril 2016 sous la dénomination LONSURF.,SERVIER
"CAPOTEN 5 mg/ml, solution buvable",captopril,, ,,, ,ASPEN PHARMA
"DEMSER 250 mg, gélule",métyrosine,, ,,, ,ATON PHARMA
"DOPS OD 100 mg, comprimé orodispersible",droxidopa,, ,,, ,SUMITOMO PHARMACEUTICAL CO LTD
"DOPS OD, comprimé orodispersible",droxidopa,, ,,, ,SUMITOMO PHARMACEUTICAL CO LTD
"MARCOUMAR 3 mg, comprimé sécable",phenprocoumone,, ,,, ,HOFFMANN-LA-ROCHE SA
"NATRIUMTHIOSULFAT 10 %, solution injectable",thiosulfate de sodium,, ,,, ,LABORATOIRE KOHLER CHEMIE
"NATRIUMTHIOSULFAT 25 %, solution injectable",thiosulfate de sodium,, ,,, ,LABORATOIRE KOHLER CHEMIE
"NIFEDIPINE RATIOPHARM 20 mg/ml, solution buvable en gouttes",nifédipine,, ,,, ,RATIOPHARM GMHB
"NIMOTOP 30 mg/ 0,75 ml, solution buvable en gouttes",nimodipine,, ,,,"Cette spécialité ne contient pas d'amidon de maïs, contrairement à la spécialité disponible en France dans le cadre d'une AMM (NIMOTOP 30 mg, comprimé pelliculé).",BAYER SPA
"NOYADA 25 mg/5 ml, solution buvable",captopril,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du  laboratoire CEVIDRA ( tel : 04 93 70 58 31).,MARTINDALE PHARMACEUTICALS LIMITED
"NOYADA 5 mg/5 ml, solution buvable",captopril,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du  laboratoire CEVIDRA ( tel : 04 93 70 58 31).,MARTINDALE PHARMACEUTICALS LIMITED
"PHENTOLAMINE MESYLATE SANDOZ  5 mg/ml, solution injectable",phentolamine (mésilate de),, ,,, ,SANDOZ CANADA
"PICIBANIL 0,5 KE, poudre pour solution injectable",streptocoques pyogènes inactivés,, ,,, ,CHUGAI PHARMA FRANCE
"PICIBANIL 1KE, poudre pour solution injectable",streptocoques pyogènes inactivés,, ,,, ,CHUGAI PHARMA FRANCE
"PROPRANOLOL 10 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"PROPRANOLOL  5 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"PROPRANOLOL 50 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"ROGITINE, ampoule, solution injectable",phentolamine mesylate,, ,,, ,LABORATOIRES PALADIN INC
"SIMDAX, solution pour perfusion",levosimendan,, ,,,La spécialité ZIMINO (levosimendan) est désormais disponible selon son AMM obtenue en octobre 2015.,ORION PHARMA LTD
"WARFARIN SODIUM 1 mg/ml, suspension buvable",warfarine sodique,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"ANTIVIPMYN TRI, solution injectable",Immunoglobulines équines,, ,,, ,INSTITUTO BIOCLON S.A. DE C.V.
"ATGAM 50 mg/ml, solution injectable",immunoglobuline équine anti-thymocytes humains,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Pfizer (Tél : 01.58.07.30.00 ; email: Atu.Atgam@pfizer.com),PFIZER
"BOTHROFAV 10 ml, solution pour perfusion",fragments F(ab')2 d'immunoglobulines T antivenin d’origine équine,, ,,, ,SANOFI PASTEUR S.A.
"FAV-AFRIQUE, solution injectable",Immunoglobulines d’origine équine,, ,,, ,SANOFI PASTEUR
"HAEMATE P 1000 IU, poudre et solvant pour solution injectable",1000 IU de FVIII / 2400 IU de VWF,, ,,, ,CSL BEHRING GMBH
"IMMUSEVEN 600 UI, poudre et solvant pour solution injectable",facteur VII de coagulation humain,, ,,, ,BAXTER SAS
"KEDRION HUMAN PLASMINOGEN 1 mg/ml, collyre en solution",plasminogène humain,, ,,, ,KEDRION S.P.A.
"SCORPIFAV 1 ml, solution pour perfusion",fragments F(ab’)2 immunoglobulines équines,, ,,, ,SANOFI PASTEUR
"BIOBAG, sachet",larves de Lucilia sericata,, ,,, ,BIOMONDE GMBH
"BYL719 200 mg, comprimé pelliculé",BYL719,, ,,, ,NOVARTIS PHARMA S.A.S.
"BYL719 50 mg, comprimé pelliculé",BYL719,, ,,, ,NOVARTIS PHARMA S.A.S.
"DAPSONE 50 mg, comprimé",dapsone,, ,,,"Cette spécialité ne contient pas de fer contrairement à la spécialité disponible en France dans le cadre d'une AMM (DISULONE 50 mg, comprimé).",ACTAVIS LTD
"SULFAMYLON 5%, poudre pour solution pour application cutanée",mafénide (acetate),, ,,, ,MYLAN INSTITUTIONAL LLC
"SULFAMYLON 85 mg, crème",mafénide (acetate),, ,,, ,MYLAN INSTITUTIONAL LLC
"XEPIN 5%, crème",doxepin hydrochloride,, ,,, ,CAMBRIDGE HEALTHCARE SUPPLIES LTD
"ZYFLO 600 mg, comprimé pelliculé",zyleuton,, ,,, ,CORNERSTONE THERAPEUTICS INC.
"ZYFLO CR 600 mg, comprimé à libération prolongée",zileuton,, ,,, ,CORNERSTONE THERAPEUTICS INC.
"GLIBENTEK 0.6 mg/ml, solution buvable",glibenclamide,, ,,, ,UNITHER DEVELOPPEMENT BORDEAUX
"GLIBENTEK 6 mg/ml, solution buvable",glibenclamide,, ,,, ,UNITHER DEVELOPPEMENT BORDEAUX
"HUMULIN REGULAR 500 UI/ml, suspension injectable",insuline,, ,,, ,ELI LILLY INTERNATIONAL  LILLY CORPORATE
"IRENAT 300 mg/ml, solution buvable en gouttes",perchlorate de sodium,, ,,, ,ALLIANCE PHARMACEUTICALS
"LODOSYN 25 mg, comprimé",carbidopa,, ,,, ,ATON PHARMA
"METRELEPTINE 11,3 mg, poudre pour solution injectable",métréleptine,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Aegerion (tel : 03 80 53 40 00 ; mail : atu_metreleptine@icta.fr),"AEGERION PHARMACEUTICALS, INC."
"OXANDROLONE 2,5 mg, comprimé",oxandrolone,, ,,, ,AMERICAN HEALTH PACKAGING
"PROGLYCEM 50 mg/ml, suspension buvable",diazoxide,, ,,, ,TEVA GLOBAL
"AMMONUL 10%/10%, poudre et solvant pour solution injectable",sodium (benzoate) et sodium (phénylacétate),, ,,, ,UCYCLYD PHARMA INC
"DODECAVIT 5 mg/ml, solution injectable",hydroxocobalamine (acétate),, ,,, ,SERB
"NORMIX 2g/100 ml, granulés pour solution buvable",rifaximine,, ,,, ,ALFA WASSERMANN
"OCALIVA 5 mg, comprimé pelliculé",acide obeticholique,,,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Intercept France (tel : 0 800 000 251).,INTERCEPT
"SECRELUX 100 U, poudre et solvant pour solution injectable",secrétine,, ,,, ,SANOCHEMIA DIAGNOSTICS GERMANY GMBH
"URSOFALK 50 mg/ml, suspension buvable",ursodésoxycholique (acide),, ,,, ,DR FALK PHARMA GMBH
"VITAMINE E 100 mg/ml, suspension buvable",alpha-tocophérol (acétate),, ,,, ,ALLIANCE PHARMACEUTICALS
"ADAGEN 250 U/ml, solution injectable",pégademase bovine,, ,,, ,ORPHAN EUROPE
"BLINATUMOMAB 30.3 µg, poudre pour solution pour perfusion",blinatumomab,,01/03/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2015 sous la dénomination BLINCYTO.,AMGEN SA
"CAMPATH 30 mg/ml, solution à diluer pour perfusion",alemtuzumab,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Genzyme (tel : 01 30 87 26 70).,GENZYME S.A.S
"CARFILZOMIB 60 mg, poudre pour solution injectable",carfilzomib,,15/03/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2015 sous la dénomibnation KYPROLIS.,AMGEN SA
"DARATUMUMAB 100 MG /5 mL, solution pour perfusion",daratumumab,,20/06/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en mai 2016 sous la dénomibnation DARZALEX.,JANSSEN-CILAG
"DARATUMUMAB 400 MG / 20 mL, solution pour perfusion",daratumumab,,20/06/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en mai 2016 sous la dénomibnation DARZALEX.,JANSSEN-CILAG
"DEXSOL 2mg/5ml, solution buvable",dexaméthasone (phosphate),, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"INOTUZUMAB OZOGAMICINE 4mg, poudre et solvant pour solution pour perfusion",inotuzumab ozogamicine,, ,,, ,PFIZER
"ISTODAX 10 mg, poudre pour solution pour perfusion",romidepsin,, ,,, ,CELGENE FRANCE
"IXAZOMIB 3 mg, gélule",ixazomib,, ,,, ,TAKEDA FRANCE
"IXAZOMIB 4 mg, gélule",ixazomib,, ,,, ,TAKEDA FRANCE
"MARQIBO KIT, solution pour perfusion",vincristine liposomale,, ,,, ,TALON THERAPEUTICS
"MIDOSTAURINE 25 mg/ml, suspension buvable",midostaurine,, ,,, ,NOVARTIS PHARMA S.A.S.
"MYLOTARG 5 mg, poudre pour solution pour perfusion",gemtuzumab ozogamicin,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire PFIZER (tél : 0800 87 39 42).,PFIZER
"NEODEX 40 mg, comprimé sécable",dexaméthasone,,16/06/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en mars 2016 sous la dénomibnation NEOFORDEX.,LABORATOIRES CTRS
"OMACETAXINE MEPESUCCINATE 3,5 mg, poudre pour solution injectable",omacétaxine mépésuccinate (homoharringtonine),, ,,, ,STRAGEN
"ONCASPAR 750 UI/ml, solution injectable",Peg-L-Asparaginase,,30/06/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en janvier 2016.,SIGMA-TAU FRANCE
"MIDOSTAURINE 25 mg, capsule molle",midostaurine,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire NOVARTIS PHARMA S.A.S. (Tel. : 01.55.47.68.15).,NOVARTIS PHARMA S.A.S.
"VALCHLOR, gel pour application cutanée",chlorméthine ou méchloréthamine,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Actelion (tel : 01 58 62 32 32).,ACTELION PHARMACEUTICALS FRANCE
"VÉNÉTOCLAX ABBVIE 10 mg, comprimé pelliculé",vénétoclax,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire AbbVie (tel : 0 800 100 381).,ABBVIE
"VÉNÉTOCLAX ABBVIE 100 mg, comprimé pelliculé",vénétoclax,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire AbbVie (tel : 0 800 100 381).,ABBVIE
"VÉNETOCLAX ABBVIE 50 mg, comprimé pelliculé",vénétoclax,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire AbbVie (tel : 0 800 100 381).,ABBVIE
"VORAXAZE 1000 UI, poudre pour solution pour perfusion",carboxypeptidase  G2,, ,,, ,BTG INTERNATIONAL INC VIA CLINIGEN HEALTHCARE LTD
"ZOLINZA 100 mg, gélule",vorinostat,, ,,, ,MERCK SHARP & DOHME - CHIBRET
"ALINIA 100 mg/5 ml, suspension buvable",nitazoxanide,, ,,, ,ROMARK PHARMACEUTICALS
"ALINIA 500 mg, comprimé",nitazoxanide,, ,,, ,ROMARK PHARMACEUTICALS
"CABOTEGRAVIR 400 mg/2 ml, suspension injectable",cabotegravir,, ,,, ,VIIV HEALTHCARE
"CYT 107 2 mg/ml, solution injectable",interleukine 7,, ,,, ,REVIMMUNE SAS
"EMTRICITABINE/TENOFOVIR ALAFENAMIDE 200 mg/10 mg, comprimé pelliculé",emtricitabine/ténofovir alafénamide,,11/07/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en avril 2016 sous la dénomination DESCOVY.,GILEAD SCIENCES
"EMTRICITABINE/TENOFOVIR ALAFENAMIDE 200 mg/25 mg, comprimé pelliculé",emtricitabine/ténofovir alafénamide,,11/07/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en avril 2016 sous la dénomination DESCOVY.,GILEAD SCIENCES
"GLECAPREVIR/PIBRENTASVIR 100 mg/40 mg, comprimé pelliculé",glecaprevir/pibrentasvir,, ,,, ,ABBVIE DEUTSCHLAND GMBH & CO. KG
"ISAVUCONAZOLE 100 mg, gélule",isavuconazole,,31/05/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en octobre 2015 sous la dénomibnation CRESEMBA.,BASILEA PHARMACEUTICA INTERNATIONAL LTD
"ISAVUCONAZOLE 200 mg, poudre pour solution injectable",isavuconazole,,31/05/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en octobre 2015 sous la dénomibnation CRESEMBA.,BASILEA PHARMACEUTICA INTERNATIONAL LTD
"LAFEPE BENZNIDAZOL 100 mg, comprimé",benznidazole,, ,,, ,LABORATOIRE LAFEPE
"LAFEPE BENZNIDAZOL 12,5 mg, comprimé dispersible",benznidazole,, ,,, ,LABORATOIRE LAFEPE
"LAMPIT 120 mg, comprimé",nifurtimox,, ,,, ,BAYER HEALTHCARE PHARMA
"MALACEF 60 mg, poudre et solvant pour solution injectable",artésunate,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du CNR Paludisme de l'Hôpital de La Pitié Salpêtrière (tel : 01 42 16 01 12 ou 13).,ACE PHARMACEUTICALS
